"Position","Const","Created","Modified","Points","Description","Name","Known.For","Birth.Date","rank_category"
1,"nm2225369","2018-08-17","2022-11-16",70488,"points","Jennifer Lawrence","The Hunger Games","1990-08-15","top 10"
2,"nm0000204","2018-07-20","2021-06-19",64117,"points","Natalie Portman","Black Swan","1981-06-09","top 10"
3,"nm0000194","2018-07-20","2022-11-16",63550,"points","Julianne Moore","Far from Heaven","1960-12-03","top 10"
4,"nm0000705","2018-07-20","2022-06-01",57521,"points","Robin Wright","Beowulf","1966-04-08","top 10"
5,"nm0000949","2018-07-30","2022-02-09",57412,"points","Cate Blanchett","Carol","1969-05-14","top 10"
6,"nm0004266","2018-08-05","2021-03-05",56731,"points","Anne Hathaway","Les Misérables","1982-11-12","top 10"
7,"nm0000701","2018-07-20","2022-11-20",55581,"points","Kate Winslet","Titanic","1975-10-05","top 10"
8,"nm0001735","2018-07-16","2018-07-18",54709,"points","Talia Shire","Rocky","1946-04-25","top 10"
9,"nm0000473","2018-07-16","2018-08-02",52796,"points","Diane Keaton","Annie Hall","1946-01-05","top 10"
10,"nm2244205","2018-08-10","2021-12-09",52174,"points","Léa Seydoux","La vie d'Adèle","1985-07-01","top 10"
11,"nm0461136","2018-08-02","2021-05-01",50689,"points","Keira Knightley","Pirates of the Caribbean: The Curse of the Black Pearl","1985-03-26","top 20"
12,"nm0000235","2018-07-18","2022-04-28",50584,"points","Uma Thurman","Kill Bill: Vol. 1","1970-04-29","top 20"
13,"nm0182839","2018-08-07","2022-02-09",49295,"points","Marion Cotillard","La Môme","1975-09-30","top 20"
14,"nm0424060","2018-08-01","2020-02-09",48093,"points","Scarlett Johansson","Lost in Translation","1984-11-22","top 20"
15,"nm1567113","2018-08-18","2021-07-15",47837,"points","Jessica Chastain","Zero Dark Thirty","1977-03-24","top 20"
16,"nm0010736","2018-08-01","2018-08-23",47662,"points","Amy Adams","Arrival","1974-08-20","top 20"
17,"nm0000307","2018-07-17","2018-08-20",47201,"points","Helena Bonham Carter","Sweeney Todd: The Demon Barber of Fleet Street","1966-05-26","top 20"
18,"nm0267812","2018-08-05","2020-07-17",44087,"points","Vera Farmiga","Up in the Air","1973-08-06","top 20"
19,"nm0000658","2018-07-17","2022-02-09",43263,"points","Meryl Streep","Out of Africa","1949-06-22","top 20"
20,"nm0000149","2018-07-16","2021-09-03",42826,"points","Jodie Foster","The Silence of the Lambs","1962-11-19","top 20"
21,"nm0842770","2018-08-01","2022-11-09",42054,"points","Tilda Swinton","We Need to Talk About Kevin","1960-11-05","top 50"
22,"nm0350454","2018-08-02","2022-06-08",41787,"points","Maggie Gyllenhaal","Secretary","1977-11-16","top 50"
23,"nm0000113","2018-07-20","2022-02-09",39829,"points","Sandra Bullock","The Proposal","1964-07-26","top 50"
24,"nm0000569","2018-07-21","2019-12-18",39032,"points","Gwyneth Paltrow","Shakespeare in Love","1972-09-27","top 50"
25,"nm0000531","2018-07-17","2021-09-13",38115,"points","Frances McDormand","Three Billboards Outside Ebbing, Missouri","1957-06-23","top 50"
26,"nm0000213","2018-07-18","2021-09-24",37977,"points","Winona Ryder","Little Women","1971-10-29","top 50"
27,"nm0000244","2018-07-17","2022-01-31",37156,"points","Sigourney Weaver","Avatar","1949-10-08","top 50"
28,"nm0005251","2018-07-30","2018-08-18",36874,"points","Carrie-Anne Moss","The Matrix","1967-08-21","top 50"
29,"nm0001057","2018-07-30","2022-09-02",36855,"points","Toni Collette","About a Boy","1972-11-01","top 50"
30,"nm0000124","2018-07-18","2018-08-10",36564,"points","Jennifer Connelly","A Beautiful Mind","1970-12-12","top 50"
31,"nm0001132","2018-07-21","2018-08-22",36468,"points","Judi Dench","Skyfall","1934-12-09","top 50"
32,"nm0000210","2018-07-18","2022-11-07",35247,"points","Julia Roberts","Pretty Woman","1967-10-28","top 50"
33,"nm0502425","2018-08-02","2021-12-14",34656,"points","Melissa Leo","The Fighter","1960-09-14","top 50"
34,"nm0000402","2018-07-16","2018-07-18",34017,"points","Carrie Fisher","Star Wars","1956-10-21","top 50"
35,"nm0006969","2018-08-09","2022-11-16",33874,"points","Elizabeth Banks","The Hunger Games","1974-02-10","top 50"
36,"nm0001625","2018-08-21","2018-08-21",33270,"points","Amanda Plummer","Pulp Fiction","1957-03-23","top 50"
37,"nm0365140","2018-08-20","2021-05-24",33172,"points","Naomie Harris","Moonlight","1976-09-06","top 50"
38,"nm0356017","2018-08-05","2018-08-21",31969,"points","Rebecca Hall","Vicky Cristina Barcelona","1982-05-03","top 50"
39,"nm1297015","2018-08-18","2021-05-15",31836,"points","Emma Stone","La La Land","1988-11-06","top 50"
40,"nm1017334","2018-08-22","2021-06-25",31821,"points","Juno Temple","Atonement","1989-07-21","top 50"
41,"nm0000398","2018-07-18","2018-08-20",31640,"points","Sally Field","Forrest Gump","1946-11-06","top 50"
42,"nm1046097","2018-08-03","2022-06-09",31619,"points","Rachel McAdams","The Notebook","1978-11-17","top 50"
43,"nm0000435","2018-07-18","2019-01-03",31397,"points","Daryl Hannah","Wall Street","1960-12-03","top 50"
44,"nm1157358","2018-08-02","2022-08-18",30575,"points","Michelle Monaghan","Gone Baby Gone","1976-03-23","top 50"
45,"nm0000173","2018-07-21","2021-11-02",30503,"points","Nicole Kidman","Moulin Rouge!","1967-06-20","top 50"
46,"nm0004950","2018-08-01","2021-11-23",29970,"points","Jennifer Garner","Alias","1972-04-17","top 50"
47,"nm1659547","2018-08-04","2022-02-09",29950,"points","Carey Mulligan","Never Let Me Go","1985-05-28","top 50"
48,"nm0000870","2018-07-18","2022-12-09",29609,"points","Kathy Bates","Misery","1948-06-28","top 50"
49,"nm0607865","2018-08-07","2019-04-10",29417,"points","Emily Mortimer","Mary Poppins Returns","1971-10-06","top 50"
50,"nm0915208","2018-08-01","2018-08-22",29246,"points","Naomi Watts","Mulholland Dr.","1968-09-28","top 50"
51,"nm0931329","2018-08-02","2021-05-10",28923,"points","Michelle Williams","My Week with Marilyn","1980-09-09","top 100"
52,"nm1208167","2018-08-10","2021-06-09",28878,"points","Diane Kruger","Inglourious Basterds","1976-07-15","top 100"
53,"nm0491259","2018-08-10","2021-09-10",28040,"points","Mélanie Laurent","Inglourious Basterds","1983-02-21","top 100"
54,"nm0005466","2018-08-02","2021-05-07",27975,"points","Julia Stiles","10 Things I Hate About You","1981-03-28","top 100"
55,"nm3053338","2018-08-21","2021-11-02",27832,"points","Margot Robbie","Suicide Squad","1990-07-02","top 100"
56,"nm0205626","2018-08-02","2022-02-09",27685,"points","Viola Davis","Fences","1965-08-11","top 100"
57,"nm0001749","2018-07-17","2022-11-07",27191,"points","Maggie Smith","Gosford Park","1934-12-28","top 100"
58,"nm0001473","2018-07-26","2022-04-26",26846,"points","Laura Linney","The Big C","1964-02-05","top 100"
59,"nm0914612","2018-08-01","2020-03-09",26500,"points","Emma Watson","The Perks of Being a Wallflower","1990-04-15","top 100"
60,"nm0000234","2018-07-23","2022-02-08",26282,"points","Charlize Theron","Monster","1975-08-07","top 100"
61,"nm0000275","2018-07-17","2022-01-23",26237,"points","Rosanna Arquette","Pulp Fiction","1959-08-10","top 100"
62,"nm0931404","2018-07-30","2021-08-30",26219,"points","Olivia Williams","The Ghost Writer","1968-07-26","top 100"
63,"nm0818055","2018-08-18","2022-11-20",26134,"points","Octavia Spencer","Hidden Figures","1970-05-25","top 100"
64,"nm0001416","2018-07-30","2021-05-14",25861,"points","Catherine Keener","Being John Malkovich","1959-03-26","top 100"
65,"nm0103797","2021-05-26","2021-09-03",25363,"points","Alice Braga","I Am Legend","1983-04-15","top 100"
66,"nm0165101","2018-08-02","2018-08-19",25263,"points","Patricia Clarkson","The Station Agent","1959-12-29","top 100"
67,"nm0757855","2018-08-21","2021-09-24",24906,"points","Zoe Saldana","Avatar","1978-06-19","top 100"
68,"nm0680983","2018-08-06","2018-08-20",24537,"points","Elliot Page","Juno","1987-02-21","top 100"
69,"nm1102577","2018-08-05","2018-08-23",24330,"points","Elle Fanning","Super 8","1998-04-09","top 100"
70,"nm0913488","2018-08-03","2018-08-20",24210,"points","Kerry Washington","Scandal","1977-01-31","top 100"
71,"nm0000139","2018-07-20","2018-08-22",23982,"points","Cameron Diaz","Vanilla Sky","1972-08-30","top 100"
72,"nm1325419","2018-08-18","2018-08-23",23641,"points","Kristen Wiig","Bridesmaids","1973-08-22","top 100"
73,"nm0000260","2018-07-24","2021-05-07",23630,"points","Joan Allen","Room","1956-08-20","top 100"
74,"nm0001838","2018-08-01","2022-11-09",23475,"points","Rachel Weisz","The Constant Gardener","1970-03-07","top 100"
75,"nm0000492","2018-07-19","2022-09-09",23423,"points","Jennifer Jason Leigh","The Hateful Eight","1962-02-05","top 100"
76,"nm0000906","2018-07-21","2018-08-17",23395,"points","Annette Bening","American Beauty","1958-05-29","top 100"
77,"nm1913734","2018-08-17","2018-08-23",23255,"points","Rooney Mara","Carol","1985-04-17","top 100"
78,"nm0000379","2018-07-20","2022-02-09",23229,"points","Kirsten Dunst","Spider-Man","1982-04-30","top 100"
79,"nm0005299","2018-08-20","2021-12-17",23137,"points","Sarah Paulson","12 Years a Slave","1974-12-17","top 100"
80,"nm1519680","2018-08-06","2021-02-06",22428,"points","Saoirse Ronan","Hanna","1994-04-12","top 100"
81,"nm0004851","2018-07-24","2020-02-09",22220,"points","Penélope Cruz","Vicky Cristina Barcelona","1974-04-28","top 100"
82,"nm0001401","2018-07-30","2022-08-18",22214,"points","Angelina Jolie","Girl, Interrupted","1975-06-04","top 100"
83,"nm0005154","2018-08-02","2018-08-19",22156,"points","Lucy Liu","Kill Bill: Vol. 1","1968-12-02","top 100"
84,"nm0001567","2018-07-23","2021-01-11",21989,"points","Connie Nielsen","Gladiator","1965-07-03","top 100"
85,"nm0000171","2018-07-21","2022-11-20",21672,"points","Ashley Judd","Double Jeopardy","1968-04-19","top 100"
86,"nm0005256","2018-08-02","2021-12-28",21387,"points","Bridget Moynahan","I, Robot","1971-04-28","top 100"
87,"nm0531808","2018-07-21","2019-12-23",21334,"points","Kelly Macdonald","No Country for Old Men","1976-02-23","top 100"
88,"nm0005049","2018-08-17","2021-11-02",21281,"points","Allison Janney","The Help","1959-11-19","top 100"
89,"nm0005305","2021-06-05","2021-06-05",21219,"points","Piper Perabo","Coyote Ugly","1976-10-31","top 100"
90,"nm0000407","2018-08-02","2018-08-03",20987,"points","Vivica A. Fox","Independence Day","1964-07-30","top 100"
91,"nm0005017","2018-07-24","2018-08-23",20868,"points","Katie Holmes","Batman Begins","1978-12-18","top 100"
92,"nm0000383","2018-08-10","2021-06-15",20787,"points","Jennifer Ehle","Zero Dark Thirty","1969-12-29","top 100"
93,"nm0000239","2018-08-01","2018-08-07",20033,"points","Liv Tyler","Armageddon","1977-07-01","top 100"
94,"nm0000702","2018-08-04","2021-04-29",19889,"points","Reese Witherspoon","Wild","1976-03-22","top 100"
95,"nm0000670","2018-07-17","2018-07-18",19767,"points","Lea Thompson","Back to the Future","1961-05-31","top 100"
96,"nm1289434","2018-08-05","2021-06-05",19758,"points","Emily Blunt","Edge of Tomorrow","1983-02-23","top 100"
97,"nm1368866","2020-02-09","2020-02-09",19503,"points","Stephanie Kurtzuba","The Irishman","","top 100"
98,"nm0001876","2018-07-31","2019-11-25",19389,"points","Catherine Zeta-Jones","Chicago","1969-09-25","top 100"
99,"nm0005476","2018-07-30","2018-08-18",19359,"points","Hilary Swank","Million Dollar Baby","1974-07-30","top 100"
100,"nm0752407","2018-08-06","2018-08-23",19296,"points","Amy Ryan","Gone Baby Gone","1968-05-03","top 100"
101,"nm0683253","2018-08-04","2021-04-27",19294,"points","Rosamund Pike","Gone Girl","","top 200"
102,"nm0000201","2018-07-17","2021-07-15",19139,"points","Michelle Pfeiffer","What Lies Beneath","1958-04-29","top 200"
103,"nm0004742","2018-08-04","2022-07-08",19127,"points","Maria Bello","A History of Violence","1967-04-18","top 200"
104,"nm0000995","2018-07-16","2021-04-11",19098,"points","Ellen Burstyn","Requiem for a Dream","1932-12-07","top 200"
105,"nm0001833","2018-07-22","2021-08-27",19023,"points","Emily Watson","Gosford Park","1967-01-14","top 200"
106,"nm0000107","2018-07-18","2021-05-04",18884,"points","Kim Basinger","L.A. Confidential","1953-12-08","top 200"
107,"nm0001315","2018-07-18","2018-08-19",18125,"points","Marcia Gay Harden","Mystic River","1959-08-14","top 200"
108,"nm0683467","2018-08-24","2019-09-24",18112,"points","Alison Pill","Scott Pilgrim vs. the World","1985-11-27","top 200"
109,"nm0447695","2018-08-10","2021-05-23",18070,"points","Anna Kendrick","Up in the Air","1985-08-09","top 200"
110,"nm2368789","2022-02-08","2022-11-20",17614,"points","Zoë Kravitz","Mad Max: Fury Road","1988-12-01","top 200"
111,"nm0000673","2018-08-01","2019-04-04",17561,"points","Marisa Tomei","My Cousin Vinny","1964-12-04","top 200"
112,"nm0004376","2018-07-27","2018-11-19",17561,"points","Franka Potente","Lola rennt","1974-07-22","top 200"
113,"nm0000261","2018-07-17","2018-08-08",17527,"points","Karen Allen","Raiders of the Lost Ark","1951-10-05","top 200"
114,"nm0004920","2018-08-23","2018-08-23",17468,"points","Frances Fisher","Titanic","1952-05-11","top 200"
115,"nm0829576","2018-08-01","2022-10-02",17352,"points","Kristen Stewart","Snow White and the Huntsman","1990-04-09","top 200"
116,"nm0279545","2018-08-21","2018-08-23",17349,"points","Isla Fisher","Wedding Crashers","1976-02-03","top 200"
117,"nm0000368","2018-07-18","2020-03-09",17330,"points","Laura Dern","Jurassic Park","1967-02-10","top 200"
118,"nm0397171","2018-08-18","2022-01-31",17315,"points","Bryce Dallas Howard","Jurassic World: Dominion","1981-03-02","top 200"
119,"nm0000707","2019-01-03","2021-05-10",17048,"points","Sean Young","Blade Runner","1959-11-20","top 200"
120,"nm0000350","2018-07-26","2018-07-26",16656,"points","Beverly D'Angelo","National Lampoon's Vacation","1951-11-15","top 200"
121,"nm0005460","2018-07-18","2018-08-18",16595,"points","Mary Steenburgen","Last Vegas","1953-02-08","top 200"
122,"nm0180411","2018-08-06","2021-05-09",16402,"points","Abbie Cornish","Bright Star","1982-08-07","top 200"
123,"nm1869101","2021-05-10","2022-09-02",16197,"points","Ana de Armas","Blade Runner 2049","1988-04-30","top 200"
124,"nm0001721","2018-07-30","2022-08-18",16003,"points","Chloë Sevigny","We Are Who We Are","1974-11-18","top 200"
125,"nm0266824","2018-08-01","2020-02-09",15975,"points","Dakota Fanning","War of the Worlds","1994-02-23","top 200"
126,"nm0607185","2018-08-18","2021-09-24",15619,"points","Jennifer Morrison","House M.D.","1979-04-12","top 200"
127,"nm0001287","2018-07-24","2021-05-25",15614,"points","Heather Graham","Austin Powers: The Spy Who Shagged Me","1970-01-29","top 200"
128,"nm0000899","2018-07-31","2021-12-21",15458,"points","Monica Bellucci","Malèna","1964-09-30","top 200"
129,"nm0544718","2018-08-10","2018-08-23",15431,"points","Kate Mara","Fantastic Four","1983-02-27","top 200"
130,"nm0000603","2018-07-16","2021-07-14",15393,"points","Vanessa Redgrave","Coriolanus","1937-01-30","top 200"
131,"nm0000130","2018-07-17","2022-09-02",15361,"points","Jamie Lee Curtis","Halloween","1958-11-22","top 200"
132,"nm0487884","2018-08-03","2018-08-21",15083,"points","Alexandra Maria Lara","Der Untergang","1978-11-12","top 200"
133,"nm0001521","2018-07-18","2022-01-12",15015,"points","Mary McDonnell","Battlestar Galactica","1952-04-28","top 200"
134,"nm1985859","2018-08-17","2021-07-15",14932,"points","Mia Wasikowska","Alice in Wonderland","1989-10-25","top 200"
135,"nm0001221","2018-07-16","2018-07-16",14605,"points","Louise Fletcher","One Flew Over the Cuckoo's Nest","1934-07-22","top 200"
136,"nm0000889","2018-07-18","2021-07-07",14501,"points","Bonnie Bedelia","Die Hard","1948-03-25","top 200"
137,"nm1113550","2018-08-01","2018-08-22",14406,"points","Abigail Breslin","Little Miss Sunshine","1996-04-14","top 200"
138,"nm0940362","2018-08-19","2022-11-20",14369,"points","Shailene Woodley","Big Little Lies","1991-11-15","top 200"
139,"nm0000966","2018-07-18","2018-07-18",14152,"points","Lorraine Bracco","Goodfellas","1954-10-02","top 200"
140,"nm0206257","2018-08-17","2022-09-19",14140,"points","Rosario Dawson","Rent","1979-05-09","top 200"
141,"nm0001523","2018-07-27","2018-07-27",14099,"points","Natascha McElhone","Ronin","1969-12-14","top 200"
142,"nm0000166","2018-07-22","2018-08-21",14056,"points","Helen Hunt","As Good as It Gets","1963-06-15","top 200"
143,"nm1469236","2020-01-14","2022-02-09",14049,"points","Olivia Colman","The Favourite","1974-01-30","top 200"
144,"nm0001167","2018-07-17","2021-04-20",14014,"points","Shelley Duvall","The Shining","1949-07-07","top 200"
145,"nm0001378","2018-08-01","2022-01-25",13971,"points","Anjelica Huston","The Grifters","1951-07-08","top 200"
146,"nm0225332","2018-08-22","2018-08-22",13869,"points","Kim Dickens","Gone Girl","1965-06-18","top 200"
147,"nm0001848","2018-07-18","2021-05-11",13564,"points","Dianne Wiest","The Birdcage","1946-03-28","top 200"
148,"nm2057859","2018-08-20","2021-05-15",13480,"points","Andrea Riseborough","Birdman or (The Unexpected Virtue of Ignorance)","1981-11-20","top 200"
149,"nm0000656","2018-07-19","2021-07-14",13410,"points","Madeleine Stowe","Twelve Monkeys","1958-08-18","top 200"
150,"nm0001669","2018-07-18","2022-05-08",13390,"points","Miranda Richardson","The Crying Game","1958-03-03","top 200"
151,"nm0000496","2018-07-19","2018-08-22",13292,"points","Juliette Lewis","Natural Born Killers","1973-06-21","top 200"
152,"nm0004650","2018-07-22","2021-05-22",13119,"points","Marisa Paredes","Todo sobre mi madre","1946-04-03","top 200"
153,"nm5939164","2020-02-09","2022-08-14",13106,"points","Zazie Beetz","Atlanta","1991-06-01","top 200"
154,"nm0000651","2018-07-16","2021-12-20",13092,"points","Sissy Spacek","In the Bedroom","1949-12-25","top 200"
155,"nm0851582","2018-08-01","2020-12-04",13079,"points","Audrey Tautou","Le fabuleux destin d'Amélie Poulain","1976-08-09","top 200"
156,"nm1631269","2018-08-18","2021-12-05",12900,"points","Chloë Grace Moretz","Kick-Ass","1997-02-10","top 200"
157,"nm0628601","2018-08-03","2018-08-05",12720,"points","Thandiwe Newton","Crash","1972-11-06","top 200"
158,"nm0593664","2018-08-01","2018-08-06",12621,"points","Radha Mitchell","Pitch Black","1973-11-12","top 200"
159,"nm0000215","2018-07-16","2018-08-21",12603,"points","Susan Sarandon","Thelma & Louise","1946-10-04","top 200"
160,"nm1200692","2018-08-04","2019-09-22",12589,"points","Eva Green","Casino Royale","1980-07-06","top 200"
161,"nm0001021","2018-07-17","2020-09-01",12584,"points","Veronica Cartwright","Alien","1949-04-20","top 200"
162,"nm0000545","2018-07-18","2022-01-22",12435,"points","Helen Mirren","The Queen","1945-07-26","top 200"
163,"nm1745736","2018-08-05","2018-08-20",12394,"points","Paula Patton","Precious","1975-12-05","top 200"
164,"nm0000099","2018-07-20","2018-08-22",12391,"points","Patricia Arquette","True Romance","1968-04-08","top 200"
165,"nm0001517","2018-08-01","2018-08-01",12363,"points","Catherine McCormack","Braveheart","1972-04-03","top 200"
166,"nm0000571","2018-07-19","2021-09-08",12290,"points","Mary-Louise Parker","Weeds","1964-08-02","top 200"
167,"nm0005109","2018-08-17","2018-08-17",12167,"points","Mila Kunis","Black Swan","1983-08-14","top 200"
168,"nm2951768","2018-08-08","2018-08-08",12155,"points","Freida Pinto","Slumdog Millionaire","1984-10-18","top 200"
169,"nm0993242","2018-08-04","2018-08-08",12054,"points","Clémence Poésy","In Bruges","1982-10-30","top 200"
170,"nm0000882","2018-08-01","2018-08-06",12040,"points","Nathalie Baye","Catch Me If You Can","1948-07-06","top 200"
171,"nm0000521","2018-07-21","2018-07-30",11946,"points","Sophie Marceau","La boum","1966-11-17","top 200"
172,"nm0000623","2018-07-20","2018-08-23",11890,"points","Rene Russo","Nightcrawler","1954-02-17","top 200"
173,"nm0001463","2018-07-15","2018-07-15",11580,"points","Janet Leigh","Psycho","1927-07-06","top 200"
174,"nm0587256","2018-07-15","2018-07-15",11137,"points","Vera Miles","The Man Who Shot Liberty Valance","1929-08-23","top 200"
175,"nm0005093","2018-07-21","2022-08-14",11090,"points","Regina King","Ray","1971-01-15","top 200"
176,"nm0002536","2018-08-03","2018-08-04",11053,"points","Emmy Rossum","The Phantom of the Opera","1986-09-12","top 200"
177,"nm0893204","2018-07-21","2019-04-11",11037,"points","Diane Venora","Heat","1952-08-10","top 200"
178,"nm0000250","2018-07-21","2021-05-21",10992,"points","Renée Zellweger","Chicago","1969-04-25","top 200"
179,"nm0001593","2018-07-20","2020-02-09",10917,"points","Anna Paquin","The Piano","1982-07-24","top 200"
180,"nm1020089","2018-08-08","2018-08-24",10831,"points","Sally Hawkins","The Shape of Water","1976-04-27","top 200"
181,"nm2539953","2018-08-20","2021-11-26",10776,"points","Alicia Vikander","Ex Machina","1988-10-03","top 200"
182,"nm0005064","2018-08-18","2019-05-31",10765,"points","January Jones","X: First Class","1978-01-05","top 200"
183,"nm0000566","2018-08-08","2019-01-09",10723,"points","Julia Ormond","My Week with Marilyn","1965-01-04","top 200"
184,"nm0000038","2018-07-15","2018-07-15",10593,"points","Grace Kelly","Dial M for Murder","1929-11-12","top 200"
185,"nm0578949","2018-08-01","2018-08-20",10527,"points","Eva Mendes","Hitch","1974-03-05","top 200"
186,"nm0000365","2018-07-20","2018-08-21",10498,"points","Julie Delpy","Trois couleurs: Blanc","1969-12-21","top 200"
