"Position","Const","Created","Modified","Points","Description","Name","Known.For","Birth.Date","rank_category"
187,"nm0007814","2018-08-04","2021-05-10",10427,"points","Hiam Abbass","Blade Runner 2049","1960-11-30","top 200"
188,"nm0001046","2018-07-15","2021-06-09",10395,"points","Julie Christie","Doctor Zhivago","1940-04-14","top 200"
189,"nm0000218","2018-07-22","2021-07-14",10320,"points","Kristin Scott Thomas","Gosford Park","1960-05-24","top 200"
190,"nm0000668","2018-07-20","2021-05-16",10289,"points","Emma Thompson","Sense and Sensibility","1959-04-15","top 200"
191,"nm0000232","2018-07-19","2022-04-09",10287,"points","Sharon Stone","Basic Instinct","1958-03-10","top 200"
192,"nm0717709","2018-08-10","2020-03-11",10257,"points","Kelly Reilly","Pride & Prejudice","1977-07-18","top 200"
193,"nm0000193","2018-07-18","2021-04-26",10018,"points","Demi Moore","G.I. Jane","1962-11-11","top 200"
194,"nm0893941","2018-08-01","2018-08-05",9951,"points","Maribel Verdú","El laberinto del fauno","1970-10-02","top 200"
195,"nm0378245","2018-08-24","2018-08-24",9922,"points","Taraji P. Henson","The Curious Case of Benjamin Button","1970-09-11","top 200"
196,"nm0001687","2018-07-19","2018-08-06",9880,"points","Gena Rowlands","The Notebook","1930-06-19","top 200"
197,"nm0939697","2018-08-07","2018-08-19",9844,"points","Evan Rachel Wood","Thirteen","1987-09-07","top 200"
198,"nm0000400","2018-07-23","2018-07-30",9766,"points","Linda Fiorentino","The Last Seduction","1958-03-09","top 200"
199,"nm0000932","2018-07-20","2022-01-25",9721,"points","Halle Berry","Catwoman","1966-08-14","top 200"
200,"nm0488953","2018-08-21","2021-10-31",9715,"points","Brie Larson","Room","1989-10-01","top 200"
201,"nm0001491","2018-07-20","2022-02-09",9584,"points","Melanie Lynskey","Togetherness","1977-05-16","top 500"
202,"nm0000006","2018-07-14","2019-04-02",9555,"points","Ingrid Bergman","Casablanca","1915-08-29","top 500"
203,"nm1856097","2020-12-31","2020-12-31",9321,"points","Cho Yeo-jeong","Gisaengchung","1981-02-10","top 500"
204,"nm6476224","2020-12-31","2020-12-31",9321,"points","Park So-dam","Gisaengchung","1991-09-08","top 500"
205,"nm0000212","2018-07-18","2018-07-27",9257,"points","Meg Ryan","When Harry Met Sally...","1961-11-19","top 500"
206,"nm0724757","2021-05-26","2021-05-26",9212,"points","Salli Richardson-Whitfield","Anacondas: The Hunt for the Blood Orchid","1967-11-23","top 500"
207,"nm0001159","2018-07-16","2018-07-19",9200,"points","Faye Dunaway","Bonnie and Clyde","1941-01-14","top 500"
208,"nm0001732","2018-07-16","2018-07-16",9129,"points","Cybill Shepherd","Cybill","1950-02-18","top 500"
209,"nm0000510","2018-07-18","2020-09-30",9032,"points","Andie MacDowell","Groundhog Day","1958-04-21","top 500"
210,"nm0000971","2018-07-22","2018-07-22",8998,"points","Nicoletta Braschi","La vita è bella","1960-04-19","top 500"
211,"nm0004787","2018-08-08","2021-06-09",8995,"points","Saffron Burrows","You","1972-10-22","top 500"
212,"nm2247245","2018-08-24","2021-12-05",8875,"points","Haley Bennett","The Magnificent Seven","1988-01-07","top 500"
213,"nm0000456","2018-07-20","2019-09-29",8800,"points","Holly Hunter","Broadcast News","1958-03-20","top 500"
214,"nm0955471","2018-07-31","2021-10-13",8780,"points","Ziyi Zhang","Yi dai zong shi","1979-02-09","top 500"
215,"nm0608090","2018-08-01","2019-03-09",8673,"points","Samantha Morton","Minority Report","1977-05-13","top 500"
216,"nm1679778","2018-08-21","2021-05-10",8552,"points","Sylvia Hoeks","Blade Runner 2049","1983-06-01","top 500"
217,"nm0001632","2018-07-31","2018-08-18",8547,"points","Teri Polo","Meet the Parents","1969-06-01","top 500"
218,"nm0001100","2018-07-31","2018-08-18",8547,"points","Blythe Danner","Meet the Parents","1943-02-03","top 500"
219,"nm0000403","2018-07-18","2018-07-24",8462,"points","Bridget Fonda","A Simple Plan","1964-01-27","top 500"
220,"nm0001543","2018-07-27","2018-08-23",8456,"points","Gretchen Mol","The Thirteenth Floor","1972-11-08","top 500"
221,"nm0341737","2018-08-01","2018-08-23",8431,"points","Rachel Griffiths","Six Feet Under","1968-12-18","top 500"
222,"nm0308882","2018-07-16","2018-07-17",8264,"points","Lorraine Gary","Jaws: The Revenge","1937-08-16","top 500"
223,"nm1419440","2018-08-05","2018-08-05",8259,"points","Ivana Baquero","El laberinto del fauno","1994-06-11","top 500"
224,"nm0317725","2018-08-05","2018-08-05",8259,"points","Ariadna Gil","El laberinto del fauno","1969-01-23","top 500"
225,"nm0636426","2018-08-15","2020-03-02",8255,"points","Noomi Rapace","Män som hatar kvinnor","1979-12-28","top 500"
226,"nm0000170","2018-07-20","2021-05-19",8135,"points","Milla Jovovich","The Fifth Element","1975-12-17","top 500"
227,"nm1092227","2018-08-22","2022-04-10",8114,"points","Sienna Miller","G.I. Joe: The Rise of Cobra","1981-12-28","top 500"
228,"nm0007102","2018-08-20","2018-08-20",8045,"points","Tabu","Andhadhun","1970-11-04","top 500"
229,"nm0000511","2018-07-15","2018-08-21",8004,"points","Shirley MacLaine","Terms of Endearment","1934-04-24","top 500"
230,"nm0001250","2018-08-02","2018-08-19",7953,"points","Charlotte Gainsbourg","Antichrist","1971-07-21","top 500"
231,"nm0000950","2018-07-19","2018-08-06",7923,"points","Brenda Blethyn","Pride & Prejudice","1946-02-20","top 500"
232,"nm0001648","2018-07-18","2021-09-08",7909,"points","Charlotte Rampling","45 Years","1946-02-05","top 500"
233,"nm1086543","2018-08-08","2021-04-08",7881,"points","Amanda Seyfried","Les Misérables","1985-12-03","top 500"
234,"nm0000526","2021-04-29","2021-04-29",7856,"points","Samantha Mathis","Broken Arrow","1970-05-12","top 500"
235,"nm0000295","2018-07-20","2018-08-20",7832,"points","Kate Beckinsale","Underworld: Evolution","1973-07-26","top 500"
236,"nm0295484","2018-08-18","2018-08-18",7717,"points","Anna Friel","Land of the Lost","1976-07-12","top 500"
237,"nm0000618","2018-07-18","2022-03-13",7713,"points","Isabella Rossellini","Blue Velvet","1952-06-18","top 500"
238,"nm0000706","2018-07-24","2021-10-13",7656,"points","Michelle Yeoh","Everything Everywhere All at Once","1962-08-06","top 500"
239,"nm1671512","2018-08-07","2021-05-25",7623,"points","Anamaria Marinca","4 luni, 3 saptamâni si 2 zile","1978-04-01","top 500"
240,"nm0257969","2021-12-24","2021-12-24",7605,"points","Mireille Enos","World War Z","1975-09-22","top 500"
241,"nm2020146","2021-12-24","2021-12-24",7605,"points","Daniella Kertesz","World War Z","1989-03-11","top 500"
242,"nm0038918","2019-10-01","2019-10-01",7585,"points","Kate Ashfield","Shaun of the Dead","1972-05-28","top 500"
243,"nm0000463","2018-07-21","2018-08-08",7549,"points","Famke Janssen","X-Men: The Last Stand","1964-11-05","top 500"
244,"nm0000133","2018-07-19","2020-12-12",7485,"points","Geena Davis","Thelma & Louise","1956-01-21","top 500"
245,"nm1597316","2021-05-26","2021-05-26",7445,"points","Adrianne Palicki","G.I. Joe: Retaliation","1983-05-06","top 500"
246,"nm1312575","2018-08-21","2022-12-09",7367,"points","Olivia Wilde","Tron","1984-03-10","top 500"
247,"nm0737533","2018-08-21","2018-08-23",7348,"points","Elisabeth Röhm","American Hustle","1973-04-28","top 500"
248,"nm0000679","2018-07-23","2019-09-29",7228,"points","Deborah Kara Unger","The Game","1966-05-12","top 500"
249,"nm0001584","2018-07-27","2018-08-04",7206,"points","Miranda Otto","The Lord of the Rings: The Return of the King","1967-12-16","top 500"
250,"nm0311476","2018-08-05","2018-08-10",7180,"points","Martina Gedeck","Das Leben der Anderen","1961-09-14","top 500"
251,"nm0362896","2018-08-03","2018-08-05",7158,"points","Corinna Harfouch","Der Untergang","1954-10-16","top 500"
252,"nm0591352","2018-08-03","2018-08-05",7158,"points","Birgit Minichmayr","Der Untergang","1977-04-03","top 500"
253,"nm0000420","2018-07-18","2018-08-02",7152,"points","Valeria Golino","Rain Man","1965-10-22","top 500"
254,"nm0000613","2018-08-18","2018-08-24",7103,"points","Joely Richardson","Nip/Tuck","1965-01-09","top 500"
255,"nm0000155","2018-07-17","2018-07-30",7072,"points","Whoopi Goldberg","Ghost","1955-11-13","top 500"
256,"nm0001012","2018-07-15","2018-07-16",7016,"points","Claudia Cardinale","C'era una volta il West","1938-04-15","top 500"
257,"nm0000666","2018-08-21","2020-09-30",6974,"points","Lili Taylor","American Crime","1967-02-20","top 500"
258,"nm0067367","2018-08-18","2019-04-28",6911,"points","Bérénice Bejo","The Artist","1976-07-07","top 500"
259,"nm0001693","2018-07-15","2018-07-15",6880,"points","Eva Marie Saint","On the Waterfront","1924-07-04","top 500"
260,"nm0000030","2018-07-15","2018-07-15",6847,"points","Audrey Hepburn","Breakfast at Tiffany's","1929-05-04","top 500"
261,"nm0645683","2018-08-03","2020-12-04",6828,"points","Sophie Okonedo","Hotel Rwanda","1968-08-11","top 500"
262,"nm2736690","2021-05-25","2021-05-25",6776,"points","Alicia von Rittberg","Fury","1993-12-10","top 500"
263,"nm0001435","2018-07-30","2018-08-24",6659,"points","Lisa Kudrow","Friends","1963-07-30","top 500"
264,"nm1367246","2018-08-02","2018-08-02",6601,"points","Kang Hye-jeong","Oldeuboi","1982-01-04","top 500"
265,"nm0000023","2018-07-14","2018-07-15",6585,"points","Judy Garland","The Wizard of Oz","1922-06-10","top 500"
266,"nm5896355","2021-12-25","2021-12-25",6570,"points","Anya Taylor-Joy","The Queen's Gambit","1996-04-16","top 500"
267,"nm0521443","2018-07-26","2018-08-20",6552,"points","Susanne Lothar","Funny Games","1960-11-15","top 500"
268,"nm0378932","2018-08-05","2018-08-08",6534,"points","Karoline Herfurth","Perfume: The Story of a Murderer","1984-05-22","top 500"
269,"nm0001684","2018-07-16","2018-07-16",6513,"points","Katharine Ross","The Graduate","1940-01-29","top 500"
270,"nm0728812","2018-07-15","2018-07-15",6501,"points","Thelma Ritter","Rear Window","1902-02-14","top 500"
271,"nm0267506","2018-08-02","2018-08-02",6459,"points","Anna Faris","The House Bunny","1976-11-29","top 500"
272,"nm0000132","2018-07-20","2022-04-28",6430,"points","Claire Danes","My So-Called Life","1979-04-12","top 500"
273,"nm0000291","2018-07-19","2022-04-26",6411,"points","Angela Bassett","Black Panther","1958-08-16","top 500"
274,"nm0000843","2018-07-16","2018-07-17",6353,"points","Anne Bancroft","The Graduate","1931-09-17","top 500"
275,"nm1679669","2018-08-10","2018-08-23",6348,"points","Rosemarie DeWitt","Rachel Getting Married","1971-10-26","top 500"
276,"nm0002104","2018-07-14","2018-07-14",6319,"points","Paulette Goddard","Modern Times","1910-06-03","top 500"
277,"nm0000162","2018-07-23","2018-08-02",6304,"points","Anne Heche","Six Days Seven Nights","1969-05-25","top 500"
278,"nm0004802","2021-07-19","2021-07-19",6281,"points","Linda Cardellini","Scooby-Doo","1975-06-25","top 500"
279,"nm0004754","2018-08-05","2018-08-21",6271,"points","Jessica Biel","The Illusionist","1982-03-03","top 500"
280,"nm0005028","2018-07-31","2018-08-24",6211,"points","Kate Hudson","Almost Famous","1979-04-19","top 500"
281,"nm0000157","2018-07-17","2018-07-17",6206,"points","Linda Hamilton","Terminator 2: Judgment Day","1956-09-26","top 500"
282,"nm0000098","2018-08-03","2021-10-13",6188,"points","Jennifer Aniston","Friends","1969-02-11","top 500"
283,"nm0001201","2018-07-16","2018-08-10",6175,"points","Mia Farrow","Rosemary's Baby","1945-02-09","top 500"
284,"nm0000565","2018-07-30","2018-08-08",6167,"points","Lena Olin","The Unbearable Lightness of Being","1955-03-22","top 500"
285,"nm0782561","2018-07-18","2022-07-03",6131,"points","Emmanuelle Seigner","Bitter Moon","1966-06-22","top 500"
286,"nm0002039","2018-07-18","2019-01-25",6086,"points","Ruby Dee","American Gangster","1922-10-27","top 500"
287,"nm0001527","2018-07-17","2021-07-20",6074,"points","Elizabeth McGovern","Ordinary People","1961-07-18","top 500"
288,"nm0000046","2018-07-14","2018-07-15",6019,"points","Vivien Leigh","A Streetcar Named Desire","1913-11-05","top 500"
289,"nm0001807","2018-08-18","2018-08-18",6000,"points","Cicely Tyson","The Help","1924-12-19","top 500"
290,"nm0001547","2018-07-14","2018-07-14",5972,"points","Agnes Moorehead","Hush...Hush, Sweet Charlotte","1900-12-06","top 500"
291,"nm0000427","2018-07-22","2018-07-24",5943,"points","Pam Grier","Jackie Brown","1949-05-26","top 500"
292,"nm0001036","2018-07-15","2018-08-20",5930,"points","Geraldine Chaplin","Hable con ella","1944-07-31","top 500"
293,"nm0001009","2018-07-17","2018-07-17",5917,"points","Kate Capshaw","Indiana Jones and the Temple of Doom","1953-11-03","top 500"
294,"nm0005442","2018-08-03","2018-08-03",5910,"points","Amy Smart","Rat Race","1976-03-26","top 500"
295,"nm0189887","2018-08-04","2018-08-22",5895,"points","Marie-Josée Croze","Les invasions barbares","1970-02-23","top 500"
296,"nm0000335","2018-07-18","2021-07-20",5824,"points","Glenn Close","Fatal Attraction","1947-03-19","top 500"
297,"nm0001656","2018-07-15","2018-07-15",5760,"points","Donna Reed","It's a Wonderful Life","1921-01-27","top 500"
298,"nm0000106","2018-07-17","2018-08-02",5758,"points","Drew Barrymore","Charlie's Angels","1975-02-22","top 500"
299,"nm1404488","2018-08-16","2018-08-18",5704,"points","AJ Michalka","Super 8","1991-04-10","top 500"
300,"nm0957909","2018-08-15","2018-08-15",5694,"points","Ayelet Zurer","Man of Steel","1969-06-28","top 500"
301,"nm0000300","2018-07-20","2018-08-06",5685,"points","Juliette Binoche","The English Patient","1964-03-09","top 500"
302,"nm1385871","2018-08-06","2018-08-24",5419,"points","Olga Kurylenko","Oblivion","1979-11-14","top 500"
303,"nm0001347","2018-07-17","2021-04-17",5277,"points","Barbara Hershey","Black Swan","1948-02-05","top 500"
304,"nm0005392","2018-08-07","2018-08-07",5230,"points","Keri Russell","Felicity","1976-03-23","top 500"
305,"nm2377903","2019-04-21","2019-04-21",5216,"points","Lucy Boynton","Sing Street","1994-01-17","top 500"
306,"nm0000322","2021-07-14","2021-07-14",5203,"points","Emmanuelle Béart","8 femmes","1963-08-14","top 500"
307,"nm0200848","2021-07-14","2021-07-14",5203,"points","Ingeborga Dapkunaite","Seven Years in Tibet","1963-01-20","top 500"
308,"nm0001571","2018-07-15","2018-07-15",5156,"points","Kim Novak","Vertigo","1933-02-13","top 500"
309,"nm0000895","2018-07-15","2018-07-15",5156,"points","Barbara Bel Geddes","Vertigo","1922-10-31","top 500"
310,"nm0000014","2018-07-14","2018-07-14",5127,"points","Olivia de Havilland","The Heiress","1916-07-01","top 500"
311,"nm3199307","2021-05-28","2021-05-28",5117,"points","Ruby Rose","Orange Is the New Black","1986-03-20","top 500"
312,"nm0314358","2021-05-28","2021-05-28",5117,"points","Claudia Gerini","The Passion of the Christ","1971-12-18","top 500"
313,"nm0005031","2018-07-30","2022-04-25",5076,"points","Felicity Huffman","Transamerica","1962-12-09","top 500"
314,"nm0000349","2018-08-02","2020-01-24",5068,"points","Joan Cusack","In & Out","1962-10-11","top 500"
315,"nm0000208","2019-05-14","2019-05-14",5045,"points","Molly Ringwald","Sixteen Candles","1968-02-18","top 500"
316,"nm0000639","2019-05-14","2019-05-14",5045,"points","Ally Sheedy","The Breakfast Club","1962-06-13","top 500"
317,"nm2794962","2018-08-17","2018-08-21",5022,"points","Hailee Steinfeld","True Grit","1996-12-11","top 500"
318,"nm3078932","2022-02-11","2022-02-11",4995,"points","Lady Gaga","A Star Is Born","1986-03-28","top 500"
319,"nm0845209","2018-08-03","2018-08-03",4962,"points","Aitana Sánchez-Gijón","The Machinist","1968-11-05","top 500"
320,"nm0428065","2018-08-22","2018-08-22",4915,"points","Felicity Jones","Rogue One","1983-10-17","top 500"
321,"nm0204706","2018-08-02","2019-04-17",4895,"points","Hope Davis","American Splendor","1964-03-23","top 500"
322,"nm0001114","2018-07-19","2019-08-15",4890,"points","Judy Davis","Husbands and Wives","1955-04-23","top 500"
323,"nm0000161","2018-07-21","2018-08-07",4872,"points","Salma Hayek","Frida","1966-09-02","top 500"
324,"nm0001512","2018-07-18","2019-04-19",4849,"points","Mary Elizabeth Mastrantonio","The Abyss","1958-11-17","top 500"
325,"nm0001448","2018-07-17","2018-08-04",4791,"points","Jessica Lange","Tootsie","1949-04-20","top 500"
326,"nm0000178","2018-07-31","2018-12-30",4783,"points","Diane Lane","Unfaithful","1965-01-22","top 500"
327,"nm0001839","2018-07-17","2018-07-17",4779,"points","Tuesday Weld","Once Upon a Time in America","1943-08-27","top 500"
328,"nm0000572","2018-07-20","2018-07-22",4757,"points","Sarah Jessica Parker","Sex and the City","1965-03-25","top 500"
329,"nm3114649","2018-08-23","2022-01-22",4754,"points","Charlotte Le Bon","Anthropoid","1986-09-04","top 500"
330,"nm0000414","2018-07-16","2018-07-17",4738,"points","Teri Garr","Tootsie","1947-12-11","top 500"
331,"nm0000304","2018-07-16","2018-07-16",4713,"points","Linda Blair","The Exorcist","1959-01-22","top 500"
332,"nm0910278","2022-06-10","2022-06-10",4674,"points","Julie Walters","Billy Elliot","1950-02-22","top 500"
333,"nm1950086","2018-08-19","2018-08-24",4656,"points","Greta Gerwig","Lady Bird","1983-08-04","top 500"
334,"nm3034977","2018-08-24","2018-08-24",4613,"points","Samara Weaving","Ready or Not","1992-02-23","top 500"
335,"nm0001788","2018-07-15","2018-07-19",4568,"points","Jessica Tandy","Driving Miss Daisy","1909-06-07","top 500"
336,"nm0381342","2018-08-08","2018-08-22",4546,"points","Hannah Herzsprung","The Reader","1981-09-07","top 500"
337,"nm0000223","2018-07-17","2021-05-15",4535,"points","Elisabeth Shue","Leaving Las Vegas","1963-10-06","top 500"
338,"nm0749104","2018-08-03","2021-05-26",4452,"points","Belén Rueda","El orfanato","1965-03-16","top 500"
339,"nm1890784","2022-06-26","2022-06-26",4445,"points","Michelle Dockery","Downton Abbey","1981-12-15","top 500"
340,"nm2163344","2018-08-21","2018-08-21",4423,"points","Ko Asung","Snowpiercer","1992-08-10","top 500"
341,"nm0240318","2018-08-02","2018-08-06",4387,"points","Lola Dueñas","Mar adentro","1971-10-06","top 500"
342,"nm0044073","2018-08-17","2018-08-17",4342,"points","Lubna Azabal","Incendies","1973-08-15","top 500"
343,"nm0000289","2018-08-06","2019-04-14",4324,"points","Ellen Barkin","The Fan","1954-04-16","top 500"
344,"nm0935541","2019-09-24","2019-09-24",4310,"points","Mary Elizabeth Winstead","10 Cloverfield Lane","1984-11-28","top 500"
345,"nm1443740","2018-08-16","2021-05-08",4306,"points","Zoe Kazan","Ruby Sparks","1983-09-09","top 500"
346,"nm0001631","2018-07-31","2018-08-15",4305,"points","Sarah Polley","Dawn of the Dead","1979-01-08","top 500"
347,"nm0000659","2018-08-03","2018-08-18",4293,"points","Barbra Streisand","Funny Girl","1942-04-24","top 500"
348,"nm0640323","2018-08-01","2018-08-01",4270,"points","Frances O'Connor","A.I. Artificial Intelligence","1967-06-12","top 500"
349,"nm0227039","2018-07-16","2020-12-23",4244,"points","Melinda Dillon","Magnolia","1939-10-13","top 500"
350,"nm0001041","2018-07-31","2018-08-01",4162,"points","Maggie Cheung","Fa yeung nin wah","1964-09-20","top 500"
351,"nm0001767","2018-07-20","2018-08-22",4134,"points","Imelda Staunton","Vera Drake","1956-01-09","top 500"
352,"nm0477810","2018-08-03","2018-08-03",4108,"points","Juliane Köhler","Der Untergang","1965-08-06","top 500"
353,"nm0000956","2018-07-18","2018-07-26",4077,"points","Lisa Bonet","Angel Heart","1967-11-16","top 500"
354,"nm0710658","2018-08-20","2018-08-20",4060,"points","Alexandra Rapaport","Gåsmamman","1971-12-26","top 500"
355,"nm0001404","2018-07-16","2020-12-30",4002,"points","Madeline Kahn","Paper Moon","1942-09-29","top 500"
356,"nm0252238","2018-08-17","2022-12-14",4001,"points","Carmen Ejogo","Selma","1973-10-22","top 500"
357,"nm0000593","2018-07-21","2018-08-07",3982,"points","Kelly Preston","Battlefield Earth","1962-10-13","top 500"
358,"nm0798971","2021-05-15","2021-05-15",3981,"points","Sarah Silverman","Wreck-It Ralph","1970-12-01","top 500"
359,"nm0001573","2019-01-28","2022-03-11",3965,"points","Catherine O'Hara","Best in Show","1954-03-04","top 500"
360,"nm0000002","2018-07-15","2018-08-02",3964,"points","Lauren Bacall","To Have and Have Not","1924-09-16","top 500"
361,"nm0001666","2018-07-15","2021-07-17",3964,"points","Debbie Reynolds","Singin' in the Rain","1932-04-01","top 500"
362,"nm0000267","2018-07-15","2018-07-15",3962,"points","Julie Andrews","The Sound of Music","1935-10-01","top 500"
363,"nm0267042","2018-08-08","2018-08-24",3932,"points","Golshifteh Farahani","Paterson","1983-07-10","top 500"
364,"nm0002106","2018-07-16","2018-07-16",3925,"points","Ruth Gordon","Rosemary's Baby","1896-10-30","top 500"
365,"nm0000931","2018-07-17","2018-07-17",3902,"points","Elizabeth Berridge","Amadeus","1962-05-02","top 500"
366,"nm4456120","2021-11-26","2021-11-26",3898,"points","Elizabeth Debicki","The Great Gatsby","1990-08-24","top 500"
367,"nm0000017","2018-07-15","2018-07-15",3842,"points","Marlene Dietrich","Witness for the Prosecution","1901-12-27","top 500"
368,"nm5637553","2020-12-25","2020-12-25",3829,"points","Laura Harrier","Spider-Man: Homecoming","1990-03-28","top 500"
369,"nm0221046","2018-08-08","2018-08-08",3824,"points","Zooey Deschanel","New Girl","1980-01-17","top 500"
370,"nm0004647","2018-07-23","2018-07-23",3808,"points","Carroll Baker","Baby Doll","1931-05-28","top 500"
371,"nm1128572","2018-08-10","2018-08-19",3780,"points","Lake Bell","In a World...","1979-03-24","top 500"
